Order ID,Delivery Address,Delivery Cty,Order Timestamp,Order Year,Order Month,Order Day,Order Hour,Order Status,Driver ID,Vehicle Info,Current Location,Delivery Time (min),Delays (min),Customer Feedback,Route,Delivery Zone,Allocation Rules,Timestamp for Tracking
1001,"884 Main St, CityE",CityE,04/09/2023 13:33,2023,Sep,04,13,Completed,D59,Van A,CityE,92,13,Neutral,Route2,Zone2,Custom Rules,01/09/2023 13:48
1002,"55 Oak St, CityE",CityE,01/09/2023 15:47,2023,Sep,01,15,Completed,D4,Truck B,CityA,163,19,Positive,Route1,Zone3,Custom Rules,01/09/2023 14:02
1003,"123 Main St, CityE",CityE,01/09/2023 16:20,2023,Sep,01,16,Completed,D21,Truck B,CityD,192,0,Negative,Route1,Zone2,Custom Rules,01/09/2023 15:02
1004,"66 Cedar St, CityD",CityD,03/09/2023 14:41,2023,Sep,03,14,Completed,D70,Truck B,CityA,143,17,Neutral,Route3,Zone3,Custom Rules,01/09/2023 15:23
1005,"748 Elm St, CityB",CityB,01/09/2023 11:23,2023,Sep,01,11,Completed,D77,Bike C,CityC,103,17,Negative,Route2,Zone1,Expedited Rules,01/09/2023 12:08
1006,"255 Cedar St, CityB",CityB,01/09/2023 12:56,2023,Sep,01,12,In Progress,D54,Van A,CityE,153,22,Neutral,Route5,Zone1,Standard Rules,01/09/2023 12:07
1007,"856 Elm St, CityA",CityA,07/09/2023 13:48,2023,Sep,07,13,In Progress,D99,Truck B,CityE,161,8,Positive,Route4,Zone1,Expedited Rules,01/09/2023 14:20
1008,"665 Pine St, CityA",CityA,06/09/2023 14:46,2023,Sep,06,14,In Progress,D84,Truck B,CityD,96,17,Positive,Route2,Zone2,Expedited Rules,01/09/2023 09:11
1009,"340 Main St, CityA",CityA,01/09/2023 15:36,2023,Sep,01,15,In Progress,D49,Bike C,CityE,135,5,Positive,Route1,Zone1,Standard Rules,01/09/2023 15:35
1010,"969 Pine St, CityE",CityE,02/09/2023 08:43,2023,Sep,02,08,Completed,D53,Bike C,CityB,233,19,Neutral,Route1,Zone1,Standard Rules,01/09/2023 09:30
1011,"718 Pine St, CityD",CityD,03/09/2023 10:17,2023,Sep,03,10,In Progress,D1,Van A,CityB,203,24,Neutral,Route5,Zone3,Custom Rules,01/09/2023 17:00
1012,"391 Pine St, CityB",CityB,06/09/2023 13:54,2023,Sep,06,13,In Progress,D44,Truck B,CityA,150,18,Negative,Route1,Zone1,Standard Rules,01/09/2023 14:33
1013,"868 Oak St, CityB",CityB,03/09/2023 12:16,2023,Sep,03,12,Completed,D32,Van A,CityC,127,17,Negative,Route4,Zone1,Expedited Rules,01/09/2023 17:24
1014,"99 Oak St, CityC",CityC,08/09/2023 16:25,2023,Sep,08,16,Completed,D38,Truck B,CityC,66,11,Neutral,Route5,Zone1,Expedited Rules,01/09/2023 16:32
1015,"182 Pine St, CityC",CityC,03/09/2023 14:12,2023,Sep,03,14,In Progress,D23,Bike C,CityB,75,26,Positive,Route4,Zone1,Standard Rules,01/09/2023 10:45
1016,"512 Main St, CityB",CityB,05/09/2023 13:52,2023,Sep,05,13,In Progress,D67,Van A,CityC,163,6,Neutral,Route5,Zone1,Standard Rules,01/09/2023 10:22
1017,"267 Pine St, CityB",CityB,04/09/2023 10:40,2023,Sep,04,10,In Progress,D11,Van A,CityA,174,16,Positive,Route4,Zone3,Expedited Rules,01/09/2023 10:27
1018,"233 Oak St, CityA",CityA,05/09/2023 10:43,2023,Sep,05,10,Completed,D49,Truck B,CityC,167,1,Negative,Route2,Zone1,Custom Rules,01/09/2023 13:09
1019,"348 Pine St, CityA",CityA,04/09/2023 14:53,2023,Sep,04,14,In Progress,D33,Van A,CityA,219,13,Positive,Route1,Zone3,Expedited Rules,01/09/2023 09:17
1020,"537 Oak St, CityA",CityA,02/09/2023 11:34,2023,Sep,02,11,In Progress,D33,Van A,CityE,213,24,Neutral,Route5,Zone3,Custom Rules,01/09/2023 11:15
1021,"901 Cedar St, CityA",CityA,03/09/2023 13:25,2023,Sep,03,13,In Progress,D9,Van A,CityE,94,24,Negative,Route3,Zone1,Custom Rules,01/09/2023 14:12
1022,"571 Main St, CityC",CityC,06/09/2023 12:05,2023,Sep,06,12,Completed,D91,Van A,CityB,232,21,Negative,Route4,Zone2,Expedited Rules,01/09/2023 13:51
